"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.26541393004712e-282,3.27194395779594,0.679,0.176,2.55929967352031e-278,"0","CCL19"
1.85697757809723e-239,2.79580884862923,0.663,0.219,3.75573715170165e-235,"0","TRBC2"
1.09210501232641e-230,3.13201941817256,0.755,0.328,2.20878238743016e-226,"0","IGHM"
1.01683284922416e-217,2.79687904703489,0.584,0.163,2.05654443755586e-213,"0","LTB"
1.28203534494621e-135,3.38657531750439,0.366,0.08,2.5929164851537e-131,"0","CCL21"
6.76989949147311e-133,2.91280549224637,0.329,0.061,1.36921217215044e-128,"0","IL7R"
9.13459337243445e-123,2.79286360803362,0.359,0.085,1.84747150957487e-118,"0","ACKR1"
1.99658918995019e-109,2.90230893545514,0.392,0.122,4.03810163667426e-105,"0","IGHG2"
3.35800729616264e-107,2.79401507736582,0.279,0.054,6.79156975648894e-103,"0","JAML"
4.92883010098336e-98,2.77369146594171,0.266,0.054,9.96855887923884e-94,"0","TIGIT"
0,3.05686384115875,0.706,0.117,0,"1","ARPP21"
0,3.05854518673507,0.652,0.09,0,"1","SPAG6"
0,3.43502387795442,0.62,0.078,0,"1","Z82214.2"
0,2.6365009060122,0.999,0.77,0,"1","CXCL14"
8.89745287926984e-267,2.36886056136237,0.722,0.162,1.79950984483233e-262,"1","BMERB1"
1.22268929328782e-249,2.40265779691531,0.685,0.153,2.47288909567462e-245,"1","FBN2"
1.27026591645385e-225,2.92510157207457,0.489,0.07,2.56911281602792e-221,"1","CCNO"
2.85895669366783e-217,2.72712696193059,0.481,0.069,5.78223991294319e-213,"1","BRINP3"
6.41664664661471e-143,2.46065494862424,0.364,0.06,1.29776678427783e-138,"1","PEG10"
7.21376174610426e-97,2.79588023928545,0.274,0.052,1.45898331314959e-92,"1","MMP1"
3.78714944896713e-225,2.75977999396476,0.992,0.594,7.65950976053601e-221,"2","SPP1"
5.49766601346591e-159,2.5552617702774,0.698,0.191,1.11190295122348e-154,"2","COL11A1"
2.02805143282332e-130,2.55772970314461,0.551,0.131,4.10173402288516e-126,"2","LOXL2"
6.1550027225017e-130,2.33525406496965,0.621,0.17,1.24484930062597e-125,"2","COL10A1"
7.2496574822587e-128,2.90387389606995,0.447,0.084,1.46624322578682e-123,"2","MIR210HG"
5.36188976759099e-102,3.32159219027367,0.284,0.038,1.08444220549528e-97,"2","ADM"
1.03708040756931e-87,2.40332020032074,0.422,0.106,2.09749512430893e-83,"2","ITGA11"
4.18422284159691e-80,2.905543061214,0.267,0.044,8.46259069712974e-76,"2","EGLN3"
4.41577440765272e-76,2.84358283466591,0.257,0.043,8.93090373947763e-72,"2","TMEM158"
3.59994131046778e-71,2.61649711139449,0.272,0.051,7.28088130042108e-67,"2","VSTM2L"
7.10897081584623e-111,3.70048870276153,0.309,0.038,1.4377893475049e-106,"3","GRB14"
1.11863701426314e-108,2.84079874185552,0.403,0.069,2.2624433613472e-104,"3","HGD"
6.15875085289155e-98,3.18973348252249,0.304,0.042,1.24560735999732e-93,"3","NDP"
1.4914664292011e-90,4.82218099680316,0.64,0.255,3.01649085305922e-86,"3","ALB"
1.65231857753685e-71,3.16838283663391,0.307,0.059,3.34181432306829e-67,"3","KRT17"
1.90333613314721e-56,3.58632858717926,0.329,0.084,3.84949732929024e-52,"3","S100A2"
7.93905318907254e-50,3.64428138725522,0.275,0.068,1.60567350748992e-45,"3","KRT14"
1.42553219955654e-48,3.09928587785453,0.365,0.119,2.88313887360309e-44,"3","ZNF350-AS1"
7.31128157064492e-48,3.15291118529981,0.275,0.07,1.47870669766294e-43,"3","PSCA"
7.9257208803975e-38,3.49287223290569,0.394,0.153,1.6029770480604e-33,"3","MMP7"
1.10205861453641e-207,4.02230176178244,1,0.672,2.22891354789988e-203,"4","SCGB1D2"
2.14568564579288e-204,3.95355679289543,1,0.694,4.33964921861609e-200,"4","SCGB2A2"
1.12233076561718e-186,2.61834097447075,1,0.665,2.26991397346075e-182,"4","S100G"
1.89592461114945e-165,2.93515356303708,0.728,0.155,3.83450752604977e-161,"4","AC087379.2"
6.86506853665764e-152,2.8595724026222,0.908,0.376,1.38846011153901e-147,"4","PCED1B"
1.12639770469818e-124,3.19448352764316,0.699,0.207,2.27813935775208e-120,"4","AMIGO2"
2.03455474838259e-117,3.22405050702511,0.384,0.05,4.11488697860379e-113,"4","ADARB2-AS1"
1.43819669081372e-81,2.69073405126123,0.355,0.063,2.90875280717075e-77,"4","SMIM34B"
4.16018234991647e-81,3.23487247710939,0.28,0.038,8.41396880270606e-77,"4","PGM5-AS1"
7.16316565322831e-59,2.58545455316265,0.28,0.053,1.44875025336542e-54,"4","AC106045.1"
4.04545021035206e-290,3.87102843796283,0.831,0.104,8.18192305043704e-286,"5","LINC00645"
1.47420532992102e-242,3.54824296990082,0.734,0.091,2.98158027976525e-238,"5","LINC02224"
2.163654579827e-203,3.2166268412026,0.714,0.106,4.3759913877001e-199,"5","AFP"
7.43214288859407e-163,3.82421757674314,0.419,0.037,1.50315089921815e-158,"5","NXPH1"
1.17242134384725e-162,3.07218709472991,0.555,0.073,2.37122216793107e-158,"5","RBM20"
1.92503780183714e-144,3.1832266504073,0.558,0.089,3.89338895421561e-140,"5","AC037198.2"
1.53228410433497e-138,3.3622182921498,0.601,0.106,3.09904460101748e-134,"5","CARTPT"
4.19115263073353e-119,3.03628134329886,0.494,0.08,8.47660619565857e-115,"5","ARHGAP40"
8.80336548936532e-99,3.01479624940379,0.364,0.05,1.78048067022413e-94,"5","HUS1B"
2.20036780227307e-89,3.13796180423433,0.299,0.036,4.45024388009728e-85,"5","CLUL1"
3.5924490069207e-152,1.30463812131977,1,1,7.26572811649712e-148,"6","IFI27"
3.12229997994724e-148,1.4658706131472,1,0.998,6.31485170944328e-144,"6","ISG15"
3.79799109964326e-134,2.20026687937724,1,0.59,7.68143699902849e-130,"6","MCCD1"
1.01704900368581e-108,1.23853314824954,1,0.982,2.05698160995455e-104,"6","H2AFJ"
7.00519755292885e-95,1.76743904167591,0.925,0.427,1.41680120507986e-90,"6","KRT37"
1.6460182282456e-60,1.35364654891406,0.897,0.566,3.32907186662673e-56,"6","SNCG"
1.74955534974364e-32,1.8429123801137,0.42,0.161,3.53847569485651e-28,"6","TPPP3"
2.35199027281831e-26,1.8382805730835,0.263,0.079,4.75690032677504e-22,"6","PGC"
1.40211969359619e-15,1.29952098938976,0.434,0.253,2.8357870802983e-11,"6","TLCD1"
3.50198842936358e-10,1.65232880168961,0.299,0.172,7.08277159838785e-06,"6","IGHA2"
5.14400116066919e-58,0.944017221585644,0.992,0.802,1.04037423474534e-53,"7","CXCL14"
5.15126284131554e-44,0.891961161802575,1,0.939,1.04184290965607e-39,"7","GNG5"
9.98782681025148e-30,0.900036125342898,0.954,0.636,2.02003797237336e-25,"7","TTLL12"
1.18092411432881e-26,1.03628118301305,0.796,0.467,2.38841902123001e-22,"7","MT-ND4L"
6.92581614388641e-26,1.1418139393881,0.704,0.407,1.40074631510103e-21,"7","ARMT1"
1.03620604953836e-25,1.01665297840569,0.835,0.493,2.09572673519134e-21,"7","AL627171.2"
1.21017967609516e-24,0.966594313529354,0.846,0.508,2.44758839490246e-20,"7","MTRNR2L12"
5.5988014181022e-24,0.890338809151787,0.754,0.42,1.13235758681117e-19,"7","DNAJC1"
4.13187287061475e-07,0.917769722836483,0.458,0.341,0.00835671288081833,"7","SIRLNT"
0.000299044998852132,0.980810571560272,0.312,0.232,1,"7","PLCG2"
5.30402532426768e-120,1.53343161726091,1,1,1.07273912183314e-115,"8","MT-CO1"
7.18344265585421e-116,1.55881960913326,1,1,1.45285127714651e-111,"8","MT-ND1"
4.5002287817736e-72,2.12316824832233,0.568,0.13,9.10171271113711e-68,"8","LINC00645"
1.27174245445329e-45,1.62990115027214,0.86,0.495,2.57209911413177e-41,"8","AL627171.2"
6.05297444729607e-41,2.00231458813162,0.423,0.117,1.22421408196563e-36,"8","LINC02224"
6.056151722239e-36,1.52883449534544,0.653,0.297,1.22485668582284e-31,"8","ST8SIA6-AS1"
5.36865626544613e-30,1.68139926621733,0.36,0.106,1.08581072968648e-25,"8","MRPS30-DT"
1.18265629997327e-27,1.79746510974358,0.378,0.126,2.39192236669594e-23,"8","CARTPT"
3.03398467743155e-23,1.51995631141979,0.482,0.22,6.13623401010531e-19,"8","MT-ATP8"
5.67393182154016e-16,1.65685469597601,0.288,0.111,1.1475527109065e-11,"8","NELL2"
5.21442946550687e-149,5.21896976966307,0.592,0.079,1.05461835939876e-144,"9","FABP4"
2.49902671249685e-141,4.84817621040064,0.765,0.166,5.05428152602487e-137,"9","SAA1"
4.54986665228979e-132,4.79634136381649,0.469,0.051,9.20210530425611e-128,"9","ADH1B"
7.62115370540202e-131,4.69478809140236,0.413,0.037,1.54137833691756e-126,"9","PLIN4"
2.67452793451376e-112,4.8144401082794,0.286,0.018,5.40923274755407e-108,"9","GPD1"
1.45053859069868e-102,4.56921839432621,0.263,0.017,2.93371429968807e-98,"9","ADIPOQ"
6.0741464304132e-97,5.00303958572675,0.319,0.03,1.22849611555107e-92,"9","LINC00632"
3.3055328782011e-96,4.57889903680465,0.31,0.028,6.68544024616172e-92,"9","PLIN1"
4.06072893713675e-50,3.68130177709087,0.394,0.097,8.21282427535907e-46,"9","G0S2"
1.13477756839299e-47,3.03546660619884,0.531,0.196,2.29508763207482e-43,"9","GPX3"
1.40083250657045e-135,2.88346268380867,1,0.432,2.83318374453873e-131,"10","KRT37"
4.68740416162101e-133,2.63860645038645,0.839,0.168,9.48027491687849e-129,"10","RP1"
3.500011625496e-120,2.72184856456828,0.79,0.168,7.07877351256565e-116,"10","STMND1"
4.40994652637999e-117,2.53947916716387,0.927,0.289,8.91911684960352e-113,"10","MBOAT1"
1.31161978119093e-81,2.88373887569322,0.424,0.062,2.65275100745865e-77,"10","EFNA5"
7.47075785957558e-79,2.81187816058515,0.493,0.088,1.51096077709916e-74,"10","RIPOR3"
2.4017003168479e-74,3.20831169183614,0.322,0.038,4.85743889082488e-70,"10","DTNA"
2.62668801175508e-67,2.6723660113233,0.415,0.071,5.31247650377465e-63,"10","AC021148.2"
4.01394545256785e-53,2.81981598000979,0.293,0.044,8.11820467781848e-49,"10","GPX2"
4.21956838912729e-46,2.70581135130696,0.302,0.054,8.53407706700994e-42,"10","RBM24"
4.55631090046003e-200,6.55231692639467,1,0.053,9.21513879618041e-196,"11","CRISP3"
2.19641444545352e-173,5.88024474406663,0.927,0.052,4.44224821592974e-169,"11","SLITRK6"
1.99273343134674e-83,3.98156216926068,0.855,0.096,4.03030336489879e-79,"11","C6orf141"
2.47121995626942e-63,3.57434323272467,0.745,0.09,4.99804236155491e-59,"11","MAB21L4"
1.72195496063071e-55,3.27644626455253,0.927,0.172,3.4826539078756e-51,"11","VTCN1"
5.66516255751535e-39,2.7082688496242,0.836,0.191,1.14577912725748e-34,"11","CYP4B1"
6.2468990634519e-25,3.08708828065398,0.327,0.041,1.26343533558315e-20,"11","TPRG1"
7.25001224511706e-21,3.37999972782239,0.309,0.044,1.46631497657493e-16,"11","LINC01410"
1.06522540820389e-19,3.29965761950479,0.255,0.032,2.15441838809237e-15,"11","ABCC12"
2.91010667956394e-16,2.66282587886303,0.364,0.074,5.88569075941808e-12,"11","CAPN8"
